Case Number,address_id,agency,attendees,contact_date,contact_method,contact_type,context,notes,worker,worker_organisation
SAMPLE-003,,,,02/04/2025 00:00,Face to Face,Speech/Language Assessment,With,sample answer,Worker C,
SAMPLE-003,,,,14/04/2025 00:00,Phone (from other),Speech/Language Contact,About,sample answer,Worker C,
SAMPLE-003,,,,17/04/2025 00:00,Email (to other),Speech/Language Contact,About,sample answer,Worker C,
SAMPLE-003,,,,28/08/2023 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,30/08/2023 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,24/02/2025 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,02/04/2025 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,08/08/2024 00:00,Face to Face,Mental Health/Therapeutic Contact,With,sample answer,Worker C,
SAMPLE-003,,,,18/08/2024 00:00,Letter (to other),Mental Health/Therapeutic Contact,About,sample answer,Worker C,
SAMPLE-003,,,,09/07/2024 00:00,Phone (from other),Victim Contact,With,sample answer,Worker C,
SAMPLE-003,,,,06/10/2024 00:00,Phone (to client),Victim Awareness Contact,With,sample answer,Worker C,
SAMPLE-003,,,,26/11/2024 00:00,Face to Face,Victim Awareness Contact,With,sample answer,Worker C,
SAMPLE-003,,,,26/11/2024 00:00,Phone (to client),Victim Awareness Contact,With,sample answer,Worker C,
SAMPLE-003,,,,03/12/2024 00:00,Phone (from other),Letter/Email/Text Advovacy,With,sample answer,Worker C,
SAMPLE-003,,,,03/12/2024 00:00,Phone (to client),Letter/Email/Text Advovacy,With,sample answer,Worker C,
SAMPLE-003,,,,08/12/2024 00:00,Phone (from other),Letter/Email/Text Advovacy,With,sample answer,Worker C,
SAMPLE-003,,,,10/12/2024 00:00,Face to Face,Victim Awareness Contact,With,sample answer,Worker C,
SAMPLE-003,,,,10/12/2024 00:00,Phone (to client),Telephone Out,With,sample answer,Worker C,
SAMPLE-003,,,,16/03/2025 00:00,Video Link,Case Consultation Education,About,sample answer,Worker C,
SAMPLE-003,,,,29/05/2025 00:00,Face to Face,Case Consultation Education,About,sample answer,Worker C,
SAMPLE-003,,,,02/04/2025 00:00,Face to Face,Initial Appointment,With,sample answer,Worker C,
SAMPLE-003,,,,20/10/2024 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-005,,,,04/05/2026 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker E,
SAMPLE-005,,,,06/05/2026 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker E,
SAMPLE-005,,,,16/07/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker E,
SAMPLE-005,,,,13/08/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker E,
SAMPLE-005,,,,10/08/2025 00:00,Other,Management Supervision of Case,About,sample answer,Worker E,
SAMPLE-005,,,,13/08/2025 00:00,Other,Management Quality Assurance,About,sample answer,Worker E,
SAMPLE-005,,,,17/07/2025 00:00,Phone (to other),Victim Impact,With,sample answer,Worker E,
SAMPLE-005,,,,21/07/2025 00:00,Face to Face,Victim Contact,With,sample answer,Worker E,
SAMPLE-005,,,,25/08/2025 00:00,Phone (to other),Victim Contact,With,sample answer,Worker E,
SAMPLE-005,,,,28/08/2025 00:00,Letter (to other),Victim Contact,With,sample answer,Worker E,
SAMPLE-005,,,,01/09/2025 00:00,Phone (to other),Victim Contact,With,sample answer,Worker E,
SAMPLE-005,,,,21/07/2025 00:00,Phone (to client),Telephone Out,About,sample answer,Worker E,
SAMPLE-005,,,,28/07/2025 00:00,Phone (to client),Telephone Out,About,sample answer,Worker E,
SAMPLE-005,,,,03/08/2025 00:00,Email (from other),Professional Group Contact,About,sample answer,Worker E,
SAMPLE-005,,,,03/08/2025 00:00,Email (to other),Professional Group Contact,About,sample answer,Worker E,
SAMPLE-005,,,,03/08/2025 00:00,Email (to other),Victim Awareness Contact,About,sample answer,Worker E,
SAMPLE-005,,,,14/07/2025 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker E,
SAMPLE-005,,,,11/08/2025 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker E,
SAMPLE-005,,,,31/07/2025 00:00,Face to Face,Assessment meeting,With,sample answer,Worker E,
SAMPLE-005,,,,10/08/2025 00:00,Face to Face,Assessment meeting,With,sample answer,Worker E,
